label,in_change,out_change,in_file,out_file,in_loc,out_loc,in_change_file_r,out_change_file_r,in_change_loc_r,out_change_loc_r
225,0.0,6,1,739,40,114086,0.0,0.008119079837618403,0.0,1.3147976088214154e-06
226,2.0,71,2,738,207,113919,0.5,0.048102981029810296,4.667553501832015e-05,3.010868854906781e-06
227,0.0,148,1,739,31,114095,0.0,0.20027063599458728,0.0,4.184402075802705e-05
228,0.0,0,1,739,114,114012,0.0,0.0,0.0,0.0
229,0.0,59,1,739,111,114015,0.0,0.07983761840324763,0.0,4.661943880467759e-06
230,0.0,45,2,738,97,114029,0.0,0.03048780487804878,0.0,4.06841703227421e-06
231,0.0,8,1,739,42,114084,0.0,0.010825439783491205,0.0,1.6696135345551564e-06
232,0.0,16,1,739,20,114106,0.0,0.02165087956698241,0.0,7.0110248365554835e-06
233,0.0,33,1,739,10,114116,0.0,0.044654939106901215,0.0,2.8917943145571174e-05
234,0.0,26,1,739,41,114085,0.0,0.035182679296346414,0.0,5.558542678383789e-06
235,0.0,4,1,739,12,114114,0.0,0.005412719891745603,0.0,2.9210555526345e-06
236,0.0,195,1,739,58,114068,0.0,0.2638700947225981,0.0,2.9474251898141824e-05
237,7.0,680,3,737,795,113331,0.7777777777777778,0.3075531433740389,1.1075511253510542e-05,7.5473251974277605e-06
238,8.0,195,3,737,100,114026,0.8888888888888888,0.08819538670284939,0.0008,1.7101362847069967e-05
239,0.0,142,1,739,11,114115,0.0,0.19215155615696888,0.0,0.00011312352371809936
240,0.0,36,1,739,191,113935,0.0,0.04871447902571042,0.0,1.6542912660084272e-06
241,0.0,30,1,739,5,114121,0.0,0.04059539918809202,0.0,5.2575774835481635e-05
242,0.0,32,1,739,18,114108,0.0,0.04330175913396482,0.0,1.5579782116747097e-05
243,0.0,33,1,739,5,114121,0.0,0.044654939106901215,0.0,5.78333523190298e-05
244,0.0,25,1,739,19,114107,0.0,0.03382949932341001,0.0,1.1531189792775295e-05
245,0.0,94,2,738,439,113687,0.0,0.06368563685636856,0.0,1.8834431978477133e-06
246,0.0,59,1,739,113,114013,0.0,0.07983761840324763,0.0,4.579511931142148e-06
247,0.0,202,3,737,387,113739,0.0,0.0913613749434645,0.0,4.58913674543829e-06
248,0.0,4,1,739,93,114033,0.0,0.005412719891745603,0.0,3.7717812114188035e-07
249,0.0,21,1,739,51,114075,0.0,0.028416779431664412,0.0,3.6095963697773653e-06
250,0.0,37,1,739,269,113857,0.0,0.05006765899864682,0.0,1.2080633461402197e-06
251,5.0,205,3,737,538,113588,0.5555555555555556,0.09271822704658525,1.7274498694047897e-05,3.354587563768255e-06
252,1.0,47,2,738,181,113945,0.25,0.03184281842818428,3.0524098775983637e-05,2.2788933984579648e-06
253,0.0,111,2,738,140,113986,0.0,0.07520325203252033,0.0,6.955741431905171e-06
254,18.0,752,7,733,1112,113014,0.3673469387755102,0.14656012473202104,1.4556699963769991e-05,5.983851494556032e-06
255,0.0,18,1,739,100,114026,0.0,0.02435723951285521,0.0,1.5785873397295354e-06
256,0.0,314,1,739,45,114081,0.0,0.4248985115020298,0.0,6.116511757240713e-05
257,0.0,135,1,739,26,114100,0.0,0.18267929634641408,0.0,4.550664059866514e-05
258,0.0,157,2,738,439,113687,0.0,0.10636856368563685,0.0,3.145750873000968e-06
259,0.0,6,1,739,132,113994,0.0,0.008119079837618403,0.0,3.987450695172154e-07
260,0.0,342,1,739,208,113918,0.0,0.462787550744249,0.0,1.4433458884730852e-05
261,0.0,340,1,739,664,113462,0.0,0.46008119079837617,0.0,4.512948764970513e-06
262,0.0,3,1,739,61,114065,0.0,0.0040595399188092015,0.0,4.3116054766012764e-07
263,0.0,21,1,739,76,114050,0.0,0.028416779431664412,0.0,2.422760100602229e-06
264,0.0,2,1,739,44,114082,0.0,0.0027063599458728013,0.0,3.984374875488285e-07
265,0.0,0,2,738,41,114085,0.0,0.0,0.0,0.0
266,0.0,134,1,739,254,113872,0.0,0.18132611637347767,0.0,4.6329128768978344e-06
267,0.0,18,1,739,23,114103,0.0,0.02435723951285521,0.0,6.858791579995039e-06
268,0.0,0,1,739,14,114112,0.0,0.0,0.0,0.0
269,8.0,206,2,738,131,113995,2.0,0.13956639566395665,0.00046617329992424685,1.3794632080086544e-05
270,0.0,117,1,739,168,113958,0.0,0.15832205683355885,0.0,6.111274078419869e-06
271,0.0,53,2,738,3183,110943,0.0,0.03590785907859079,0.0,1.5008570360924032e-07
272,0.0,17,1,739,125,114001,0.0,0.023004059539918808,0.0,1.192971991473759e-06
273,0.0,170,1,739,366,113760,0.0,0.23004059539918809,0.0,4.082989401520217e-06
274,0.0,0,1,739,13,114113,0.0,0.0,0.0,0.0
275,0.0,8,1,739,60,114066,0.0,0.010825439783491205,0.0,1.1689139036464268e-06
276,0.0,129,1,739,30,114096,0.0,0.17456021650879566,0.0,3.7687561351844064e-05
277,11.0,1000,3,737,850,113276,1.2222222222222223,0.4522840343735866,1.5224913494809688e-05,1.038587686919819e-05
278,2.0,106,2,738,210,113916,0.5,0.07181571815718157,4.5351473922902495e-05,4.4310009547553e-06
